Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,180 nm,N/A,1,,933 MHz,,256 KB L2,100 MHz FSB,29.6 W,No,,,,,,,,,,,,,,,,,,,,,55°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,5160,End of Life,,65 nm,N/A,2,,3.00 GHz,,4 MB L2,1333 MHz FSB,80 W,No,,,,,,No,,,,,,,,,,,,,,,65°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,7120M,End of Life,,65 nm,"$1,177.00 ",2,,3.00 GHz,,4 MB L2,800 MHz FSB,95 W,No,,,,,,,,,,,,,,,,,,,,,60°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,5030,End of Life,,65 nm,N/A,2,,2.66 GHz,,4 MB L2,667 MHz FSB,95 W,No,,,,,,No,,,,,,,,,,,,,,,67°C,Yes,Yes,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,3060,End of Life,,65 nm,N/A,2,,2.40 GHz,,4 MB L2,1066 MHz FSB,65 W,No,,,,,,No,,,,,,,,,,,,,,,60.1°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,X5677,End of Life,Q1'10,32 nm,"$1,663.00 ",4,8,3.46 GHz,3.73 GHz,12 MB SmartCache,6.4 GT/s QPI,130 W,No,,288 GB,DDR3 800/1066/1333 ,3,32 GB/s,Yes,,,,,,,,,,,,,,,80.4°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,E7540,End of Life,Q1'10,45 nm,N/A,6,12,2.00 GHz,2.27 GHz,18 MB L3,6.4 GT/s QPI,105 W,No,,,,,,,,,,,,,,,,,,,,,64°C,Yes,Yes,Yes,,,,,,Yes
Legacy Intel® Xeon® Processors,Server,X3430,Launched,Q3'09,45 nm,$203.00 - $224.00,4,4,2.40 GHz,2.80 GHz,8 MB SmartCache,2.5 GT/s DMI,95 W,Yes,Yes,32 GB,DDR3 800/1066/1333 ,2,21 GB/s,Yes,,,,,,,,,,,,2,"1x16, 2x8, 4x4",16,72.7°C,No,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,L5530,Launched,Q3'09,45 nm,N/A,4,8,2.40 GHz,2.66 GHz,8 MB SmartCache,5.86 GT/s QPI,60 W,No,,144 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,,,,,,,,,,,,70°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,W3530,End of Life,Q1'10,45 nm,$305.00 ,4,8,2.80 GHz,3.06 GHz,8 MB SmartCache,4.8 GT/s QPI,130 W,No,,24 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,,,,,,,,,,,,67.9°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,E7440,End of Life,Q3'08,45 nm,"$2,059.00 ",4,,2.40 GHz,,16 MB L2,1066 MHz FSB,90 W,No,,,,,,,,,,,,,,,,,,,,,68°C,No,Yes,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,X5450,End of Life,Q4'07,45 nm,$912.00 ,4,,3.00 GHz,,12 MB L2,1333 MHz FSB,120 W,No,,,,,,,,,,,,,,,,,,,,,63°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,X3350,End of Life,Q1'08,45 nm,$268.00 ,4,,2.66 GHz,,12 MB L2,1333 MHz FSB,95 W,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,E7320,End of Life,Q3'07,65 nm,N/A,4,,2.13 GHz,,4 MB L2,1066 MHz FSB,80 W,No,,,,,,,,,,,,,,,,,,,,,66°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,3065,End of Life,Q4'07,65 nm,N/A,2,,2.33 GHz,,4 MB L2,1333 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,72°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,5113,Launched,,65 nm,N/A,2,,1.60 GHz,,4 MB L2,800 MHz FSB,40 W,No,Yes,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,64-bit,,,,,Yes
Legacy Intel® Xeon® Processors,Server,L5310,End of Life,Q1'07,65 nm,N/A,4,,1.60 GHz,,8 MB L2,1066 MHz FSB,50 W,No,,,,,,,,,,,,,,,,,,,,,60°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,180 nm,N/A,1,,866 MHz,,256 KB L2,133 MHz FSB,27.4 W,Yes,,,,,,,,,,,,,,,,,,,,,55°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,250 nm,N/A,1,,550 MHz,,512 KB L2,,34 W,No,,,,,,,,,,,,,,,,,,,,,68°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,180 nm,N/A,1,,1.60 GHz,,1 MB L2,400 MHz FSB,72 W,No,,,,,,,,,,,,,,,,,,,,,78°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,Q4'03,130 nm,N/A,1,,2.80 GHz,,512 KB L2,533 MHz FSB,74 W,No,,,,,,,,,,,,,,,,,,,,,C1+D1=75°C; M0=72°C,Yes,No,No,32-bit,,No,,,No
Legacy Intel® Xeon® Processors,Server,7120N,End of Life,,65 nm,N/A,2,,3.00 GHz,,4 MB L2,667 MHz FSB,95 W,No,,,,,,,,,,,,,,,,,,,,,60°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,5040,End of Life,,65 nm,N/A,2,,2.83 GHz,,4 MB L2,667 MHz FSB,95 W,No,,,,,,No,,,,,,,,,,,,,,,67°C,Yes,Yes,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Life,,90 nm,N/A,1,,3.66 GHz,,1 MB L2,667 MHz FSB,110 W,No,,,,,,No,,,,,,,,,,,,,,,73°C,Yes,No,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,,Launched,,90 nm,N/A,1,,2.80 GHz,,2 MB L2,800 MHz FSB,110 W,No,,,,,,No,,,,,,,,,,,,,,,72°C,Yes,No,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,,N/A,1,,450 MHz,,512 KB L2,100 MHz FSB,34.5 W,No,,,,,,,,,,,,,,,,,,,,,75°C,,,,,,,,,
Legacy Intel® Xeon® Processors,Embedded,EC5509,Launched,Q1'10,45 nm,$286.00 ,4,4,2.00 GHz,,8 MB L3,4.8 GT/s QPI,85 W,Yes,Yes,,,3,,Yes,,,,,,,,,,,,2,,,77.6°C,No,Yes,,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,L7545,End of Life,Q1'10,45 nm,N/A,6,12,1.87 GHz,2.53 GHz,18 MB L3,5.86 GT/s QPI,95 W,No,,,,,,,,,,,,,,,,,,,,,70°C,Yes,Yes,Yes,,,,,,Yes
Legacy Intel® Xeon® Processors,Server,X3440,End of Life,Q3'09,45 nm,$230.00 ,4,8,2.53 GHz,2.93 GHz,8 MB SmartCache,2.5 GT/s DMI,95 W,No,,32 GB,DDR3 800/1066/1333 ,2,21 GB/s,Yes,,,,,,,,,,,,2,"1x16, 2x8, 4x4",16,72.7°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,W3540,End of Life,Q1'09,45 nm,$594.00 ,4,8,2.93 GHz,3.20 GHz,8 MB SmartCache,4.8 GT/s QPI,130 W,No,,24 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,,,,,,,,,,,,67.9°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,W5580,Launched,Q1'09,45 nm,N/A,4,8,3.20 GHz,3.46 GHz,8 MB SmartCache,6.4 GT/s QPI,130 W,No,,144 GB,DDR3 800/1066/1333 ,3,32 GB/s,Yes,,,,,,,,,,,,,,,67°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,E7450,End of Life,Q3'08,45 nm,"$2,391.00 ",6,,2.40 GHz,,12 MB L3,1066 MHz FSB,90 W,No,,,,,,,,,,,,,,,,,,,,,68°C,No,Yes,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,L5318,End of Life,Q1'07,65 nm,N/A,4,,1.60 GHz,,8 MB L2,1066 MHz FSB,40 W,Yes,,,,,,,,,,,,,,,,,,,,,72.2°C,No,Yes,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,X5460,End of Life,Q4'07,45 nm,"$1,245.00 ",4,,3.16 GHz,,12 MB L2,1333 MHz FSB,120 W,No,,,,,,,,,,,,,,,,,,,,,63°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,E7330,End of Life,Q3'07,65 nm,N/A,4,,2.40 GHz,,6 MB L2,1066 MHz FSB,80 W,No,,,,,,,,,,,,,,,,,,,,,66°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,180 nm,N/A,1,,800 MHz,,256 KB L2,133 MHz FSB,25.4 W,Yes,,,,,,,,,,,,,,,,,,,,,55°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,250 nm,N/A,1,,550 MHz,,2 MB L2,100 MHz FSB,39.5 W,No,,,,,,,,,,,,,,,,,,,,,68°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,180 nm,N/A,1,,1.50 GHz,,512 KB L2,400 MHz FSB,68 W,No,,,,,,,,,,,,,,,,,,,,,76°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,7130M,End of Life,,65 nm,"$1,391.00 ",2,,3.20 GHz,,8 MB L2,800 MHz FSB,150 W,No,,,,,,,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,130 nm,$307.00 ,1,,2.80 GHz,,1 MB L2,533 MHz FSB,77 W,No,,,,,,,,,,,,,,,,,,,,,72°C,Yes,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,5050,End of Life,,65 nm,$177.00 ,2,,3.00 GHz,,4 MB L2,667 MHz FSB,95 W,No,,,,,,,,,,,,,,,,,,,,,67°C,Yes,Yes,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,3070,End of Life,,65 nm,N/A,2,,2.66 GHz,,4 MB L2,1066 MHz FSB,65 W,No,,,,,,No,,,,,,,,,,,,,,,60.1°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,90 nm,N/A,1,,3.33 GHz,,8 MB L2,667 MHz FSB,129 W,No,,,,,,,,,,,,,,,,,,,,,73°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,,End of Life,,90 nm,N/A,1,,2.80 GHz,,1 MB L2,800 MHz FSB,103 W,Yes,,,,,,,,,,,,,,,,,,,,,72°C,Yes,No,,64-bit,,,,,
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,,N/A,1,,450 MHz,,2 MB L2,100 MHz FSB,46.7 W,No,,,,,,,,,,,,,,,,,,,,,75°C,,,,,,,,,
Legacy Intel® Xeon® Processors,Server,W3680,End of Life,Q1'10,32 nm,$594.00 ,6,12,3.33 GHz,3.60 GHz,12 MB SmartCache,6.4 GT/s QPI,130 W,No,,24 GB,DDR3 800/1066/1333 ,3,32 GB/s,Yes,,,,,,,,,,,,,,,67.9°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,X5680,End of Life,Q1'10,32 nm,$1663.00 - $1666.00,6,12,3.33 GHz,3.60 GHz,12 MB SmartCache,6.4 GT/s QPI,130 W,No,,288 GB,DDR3 800/1066/1333 ,3,32 GB/s,Yes,,,,,,,,,,,,,,,78.5°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Embedded,EC3539,Launched,Q1'10,45 nm,$326.00 ,4,4,2.13 GHz,,8 MB L3,2.5 GT/s DMI,65 W,Yes,Yes,,,3,,Yes,,,,,,,,,,,,2,,,74.6°C,No,Yes,,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Embedded,EC5539,Launched,Q1'10,45 nm,$417.00 ,2,2,2.27 GHz,,4 MB L3,5.87 GT/s QPI,65 W,Yes,Yes,,,3,,Yes,,,,,,,,,,,,2,,,74.6°C,No,Yes,,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,X3450,Launched,Q3'09,45 nm,$237.00 - $261.00,4,8,2.66 GHz,3.20 GHz,8 MB SmartCache,2.5 GT/s DMI,95 W,Yes,Yes,32 GB,DDR3 800/1066/1333 ,2,21 GB/s,Yes,,,,,,,,,,,,2,"1x16, 2x8, 4x4",16,72.7°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,L7555,End of Life,Q1'10,45 nm,N/A,8,16,1.87 GHz,2.53 GHz,24 MB L3,5.86 GT/s QPI,95 W,No,,,,,,,,,,,,,,,,,,,,,70°C,Yes,Yes,Yes,,,,,,Yes
Legacy Intel® Xeon® Processors,Server,W5590,Launched,Q3'09,45 nm,N/A,4,8,3.33 GHz,3.60 GHz,8 MB SmartCache,6.4 GT/s QPI,130 W,No,,144 GB,DDR3 800/1066/1333 ,3,32 GB/s,Yes,,,,,,,,,,,,,,,67°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,W3550,End of Life,Q3'09,45 nm,$305.00 ,4,8,3.06 GHz,3.33 GHz,8 MB SmartCache,4.8 GT/s QPI,130 W,No,,24 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,,,,,,,,,,,,67.9°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,X5470,End of Life,Q3'08,45 nm,"$1,467.00 ",4,,3.33 GHz,,12 MB L2,1333 MHz FSB,120 W,No,,,,,,,,,,,,,,,,,,,,,63°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,E3110,End of Life,Q1'08,45 nm,$179.00 ,2,,3.00 GHz,,6 MB L2,1333 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,72.4°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,X3360,End of Life,Q1'08,45 nm,$287.00 ,4,,2.83 GHz,,12 MB L2,1333 MHz FSB,95 W,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,X5260,Launched,Q4'07,45 nm,N/A,2,,3.33 GHz,,6 MB L2,1333 MHz FSB,80 W,No,,,,,,,,,,,,,,,,,,,,,66°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,90 nm,N/A,1,,2.80 GHz,,2 MB L2,800 MHz FSB,110 W,No,,,,,,,,,,,,,,,,,,,,,72°C,Yes,No,,64-bit,,,,,
Legacy Intel® Xeon® Processors,Server,5128,Launched,Q2'06,65 nm,N/A,2,,1.86 GHz,,4 MB L2,1066 MHz FSB,40 W,Yes,Yes,,,,,,,,,,,,,,,,,,,,58°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,L5320,End of Life,Q1'07,65 nm,N/A,4,,1.86 GHz,,8 MB L2,1066 MHz FSB,50 W,No,,,,,,,,,,,,,,,,,,,,,60°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,180 nm,N/A,1,,733 MHz,,256 KB L2,133 MHz FSB,23.3 W,Yes,,,,,,,,,,,,,,,,,,,,,55°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,250 nm,N/A,1,,550 MHz,,1 MB L2,100 MHz FSB,34 W,No,,,,,,,,,,,,,,,,,,,,,68°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,7130N,End of Life,,65 nm,N/A,2,,3.16 GHz,,8 MB L2,667 MHz FSB,150 W,No,,,,,,,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,130 nm,N/A,1,,2.66 GHz,,512 KB L2,533 MHz FSB,72 W,No,,,,,,,,,,,,,,,,,,,,,C1+D1=74°C; M0=72°C,Yes,No,No,32-bit,,No,,,No
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,180 nm,N/A,1,,1.50 GHz,,256 KB L2,400 MHz FSB,59.2 W,No,,,,,,,,,,,,,,,,,,,,,70°C,,No,,32-bit,,,,,
Legacy Intel® Xeon® Processors,Server,7020,End of Life,,90 nm,"$1,177.00 ",2,,2.66 GHz,,2 MB L2,667 MHz FSB,165 W,No,,,,,,No,,,,,,,,,,,,,,,76°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,5060,End of Life,,65 nm,N/A,2,,3.20 GHz,,4 MB L2,1066 MHz FSB,130 W,No,,,,,,,,,,,,,,,,,,,,,78°C,Yes,Yes,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Life,,90 nm,N/A,1,,3.16 GHz,,1 MB L2,667 MHz FSB,110 W,No,,,,,,No,,,,,,,,,,,,,,,73°C,Yes,No,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Life,,90 nm,N/A,1,,3.50 GHz,,1 MB L2,667 MHz FSB,110 W,No,,,,,,No,,,,,,,,,,,,,,,73°C,No,No,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,X5687,End of Life,Q1'11,32 nm,"$1,663.00 ",4,8,3.60 GHz,3.86 GHz,12 MB SmartCache,6.4 GT/s QPI,130 W,No,,288 GB,DDR3 800/1066/1333 ,3,32 GB/s,Yes,,,,,,,,,,,,,,,80.4°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,,End of Interactive Support,,,N/A,1,,450 MHz,,2 MB L2,100 MHz FSB,46.7 W,No,,,,,,,,,,,,,,,,,,,,,75°C,,,,,,,,,
Legacy Intel® Xeon® Processors,Embedded,LC3518,Launched,Q1'10,45 nm,$221.00 ,1,1,1.73 GHz,,2 MB L3,2.5 GT/s DMI,23 W,Yes,Yes,,,2,,Yes,,,,,,,,,,,,2,,,79.5°C - 94.5°C,No,Yes,,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Embedded,EC5549,Launched,Q1'10,45 nm,$503.00 ,4,8,2.53 GHz,2.93 GHz,8 MB L3,5.87 GT/s QPI,85 W,Yes,Yes,,DDR3 800/1066/1333,3,,Yes,,,,,,,,,,,,2,"1x16, 2x8, 4x4",,77.6°C,Yes,Yes,,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,X7542,End of Life,Q1'10,45 nm,N/A,6,6,2.67 GHz,2.80 GHz,18 MB L3,5.86 GT/s QPI,130 W,No,,,,,,,,,,,,,,,,,,,,,69°C,,Yes,Yes,,,,,,Yes
Legacy Intel® Xeon® Processors,Server,E6510,End of Life,Q1'10,,N/A,4,8,1.73 GHz,1.73 GHz,12 MB L3,4.8 GT/s QPI,105 W,No,,,,,,,,,,,,,,,,,,,,,64°C,Yes,Yes,Yes,,,,,,Yes
Legacy Intel® Xeon® Processors,Server,X3460,End of Life,Q3'09,45 nm,$328.00 - $339.00,4,8,2.80 GHz,3.46 GHz,8 MB SmartCache,2.5 GT/s DMI,95 W,No,,32 GB,DDR3 800/1066/1333 ,2,21 GB/s,Yes,,,,,,,,,,,,2,"1x16, 2x8, 4x4",16,72.7°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,W3565,End of Life,Q4'09,45 nm,$305.00 ,4,8,3.20 GHz,3.46 GHz,8 MB SmartCache,4.8 GT/s QPI,130 W,No,,24 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes
Legacy Intel® Xeon® Processors,Server,X5550,Launched,Q1'09,45 nm,N/A,4,8,2.66 GHz,3.06 GHz,8 MB SmartCache,6.4 GT/s QPI,95 W,No,,144 GB,DDR3 800/1066/1333 ,3,32 GB/s,Yes,,,,,,,,,,,,,,,75°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Xeon® Processors,Server,L7445,End of Life,Q3'08,45 nm,N/A,4,,2.13 GHz,,12 MB L2,1066 MHz FSB,50 W,No,,,,,,,,,,,,,,,,,,,,,65°C,No,Yes,Yes,64-bit,,No,,,Yes
Legacy Intel® Xeon® Processors,Server,X5270,Launched,Q3'08,45 nm,N/A,2,,3.50 GHz,,6 MB L2,1333 MHz FSB,80 W,No,Yes,,,,,,,,,,,,,,,,,,,,61°C,No,Yes,Yes,64-bit,,,,,Yes
Intel® Xeon® Processor W Family,Server,W-2195,Launched,Q3'17,14 nm,N/A,18,36,2.30 GHz,4.30 GHz,24.75 MB,0 GT/s QPI,140 W,No,Yes,512 GB,DDR4 1600/1866/2133/2400/2666,4,85.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",48,66,Yes,Yes,Yes,64-bit,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes
Legacy Intel® Xeon® Processors,Server,X5472,End of Life,Q4'07,45 nm,N/A,4,,3.00 GHz,,12 MB L2,1600 MHz FSB,120 W,No,,,,,,,,,,,,,,,,,,,,,63°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Intel® Xeon® Processor W Family,Server,W-2155,Launched,Q3'17,14 nm,"$1,440.00 ",10,20,3.30 GHz,4.50 GHz,13.75 MB,0 GT/s QPI,140 W,No,Yes,512 GB,DDR4 1600/1866/2133/2400/2666,4,85.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",48,68,Yes,Yes,Yes,64-bit,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes
Intel® Xeon® Processor W Family,Server,W-2145,Launched,Q3'17,14 nm,"$1,113.00 ",8,16,3.70 GHz,4.50 GHz,11 MB,0 GT/s QPI,140 W,No,Yes,512 GB,DDR4 1600/1866/2133/2400/2666,4,85.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",48,70,Yes,Yes,Yes,64-bit,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes
Intel® Xeon® Processor W Family,Server,W-2135,Launched,Q3'17,14 nm,$835.00 ,6,12,3.70 GHz,4.50 GHz,8.25 MB,0 GT/s QPI,140 W,No,Yes,512 GB,DDR4 1600/1866/2133/2400/2666,4,85.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",48,64,Yes,Yes,Yes,64-bit,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes
Intel® Xeon® Processor W Family,Server,W-2133,Launched,Q3'17,14 nm,$617.00 ,6,12,3.60 GHz,3.90 GHz,8.25 MB,0 GT/s QPI,140 W,No,Yes,512 GB,DDR4 1600/1866/2133/2400/2666,4,85.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",48,65,Yes,Yes,Yes,64-bit,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes
Intel® Xeon® Processor W Family,Server,W-2125,Launched,Q3'17,14 nm,$444.00 ,4,8,4.00 GHz,4.50 GHz,8.25 MB,0 GT/s QPI,120 W,No,Yes,512 GB,DDR4 1600/1866/2133/2400/2666,4,85.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",48,64,Yes,Yes,Yes,64-bit,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes
Intel® Xeon® Processor W Family,Server,W-2123,Launched,Q3'17,14 nm,$294.00 ,4,8,3.60 GHz,3.90 GHz,8.25 MB,0 GT/s QPI,120 W,No,Yes,512 GB,DDR4 1600/1866/2133/2400/2666,4,85.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",48,65,Yes,Yes,Yes,64-bit,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes
Legacy Intel® Xeon® Processors,Server,E7340,End of Life,Q3'07,65 nm,N/A,4,,2.40 GHz,,8 MB L2,1066 MHz FSB,80 W,No,,,,,,,,,,,,,,,,,,,,,66°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,L5335,End of Life,Q3'07,65 nm,N/A,4,,2.00 GHz,,8 MB L2,1333 MHz FSB,50 W,No,,,,,,,,,,,,,,,,,,,,,60°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,5133,Launched,,65 nm,N/A,2,,2.20 GHz,,4 MB L2,800 MHz FSB,40 W,No,Yes,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,64-bit,,,,,Yes
Legacy Intel® Xeon® Processors,Server,X3210,End of Life,Q1'07,65 nm,N/A,4,,2.13 GHz,,8 MB L2,1066 MHz FSB,105 W,No,,,,,,No,,,,,,,,,,,,,,,62.2°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Xeon® Processors,Server,5063,End of Life,,65 nm,$369.00 ,2,,3.20 GHz,,4 MB L2,1066 MHz FSB,95 W,No,,,,,,No,,,,,,,,,,,,,,,67°C,Yes,Yes,Yes,64-bit,,No,,,Yes
