"","term","loan_status","Date","home_ownership"
"12586"," 36 months","Fully Paid","11/1/2010","RENT"
"12587"," 36 months","Fully Paid","11/1/2010","OWN"
"12588"," 36 months","Fully Paid","11/1/2010","RENT"
"12589"," 36 months","Fully Paid","11/1/2010","RENT"
"12590"," 36 months","Fully Paid","11/1/2010","RENT"
"12591"," 36 months","Fully Paid","11/1/2010","OWN"
"12592"," 36 months","Fully Paid","11/1/2010","RENT"
"12593"," 36 months","Charged Off","11/1/2010","OWN"
"12594"," 60 months","Fully Paid","11/1/2010","RENT"
"12595"," 36 months","Fully Paid","11/1/2010","RENT"
"12596"," 36 months","Fully Paid","11/1/2010","RENT"
"12597"," 36 months","Fully Paid","11/1/2010","RENT"
"12598"," 36 months","Fully Paid","11/1/2010","RENT"
"12599"," 60 months","Fully Paid","11/1/2010","RENT"
"12600"," 36 months","Fully Paid","11/1/2010","OWN"
"12601"," 36 months","Fully Paid","11/1/2010","RENT"
"12602"," 60 months","Charged Off","11/1/2010","RENT"
"12603"," 36 months","Fully Paid","11/1/2010","RENT"
"12604"," 60 months","Fully Paid","11/1/2010","RENT"
"12605"," 60 months","Fully Paid","11/1/2010","RENT"
"12606"," 60 months","Fully Paid","11/1/2010","RENT"
"12607"," 36 months","Fully Paid","11/1/2010","RENT"
"12608"," 36 months","Fully Paid","11/1/2010","RENT"
"12609"," 36 months","Fully Paid","11/1/2010","RENT"
"12610"," 60 months","Fully Paid","11/1/2010","OWN"
"12611"," 60 months","Fully Paid","11/1/2010","RENT"
"12612"," 36 months","Fully Paid","11/1/2010","RENT"
"12613"," 60 months","Fully Paid","11/1/2010","RENT"
"12614"," 60 months","Fully Paid","11/1/2010","RENT"
"12615"," 60 months","Charged Off","11/1/2010","RENT"
"12616"," 36 months","Charged Off","11/1/2010","RENT"
"12617"," 36 months","Charged Off","11/1/2010","RENT"
"12618"," 36 months","Fully Paid","11/1/2010","RENT"
"12619"," 36 months","Fully Paid","11/1/2010","RENT"
"12620"," 60 months","Fully Paid","11/1/2010","RENT"
"12621"," 36 months","Fully Paid","11/1/2010","RENT"
"12622"," 36 months","Fully Paid","11/1/2010","RENT"
"12623"," 36 months","Fully Paid","11/1/2010","RENT"
"12624"," 60 months","Fully Paid","11/1/2010","RENT"
"12625"," 36 months","Charged Off","11/1/2010","RENT"
"12626"," 60 months","Fully Paid","11/1/2010","RENT"
"12627"," 60 months","Charged Off","11/1/2010","OWN"
"12628"," 36 months","Fully Paid","11/1/2010","RENT"
"12629"," 36 months","Fully Paid","11/1/2010","RENT"
"12630"," 36 months","Fully Paid","11/1/2010","OWN"
"12631"," 60 months","Charged Off","11/1/2010","RENT"
"12632"," 36 months","Fully Paid","11/1/2010","RENT"
"12633"," 60 months","Charged Off","11/1/2010","OWN"
"12634"," 60 months","Fully Paid","11/1/2010","RENT"
"12635"," 60 months","Fully Paid","11/1/2010","RENT"
"12636"," 60 months","Charged Off","11/1/2010","OWN"
"12637"," 36 months","Charged Off","11/1/2010","OWN"
"12638"," 36 months","Fully Paid","11/1/2010","RENT"
"12639"," 36 months","Fully Paid","11/1/2010","RENT"
"12640"," 36 months","Fully Paid","11/1/2010","RENT"
"12641"," 36 months","Fully Paid","11/1/2010","RENT"
"12642"," 60 months","Charged Off","11/1/2010","RENT"
"12643"," 36 months","Fully Paid","11/1/2010","RENT"
"12644"," 60 months","Fully Paid","11/1/2010","RENT"
"12645"," 60 months","Fully Paid","11/1/2010","OWN"
"12646"," 36 months","Fully Paid","11/1/2010","RENT"
"12647"," 36 months","Fully Paid","11/1/2010","RENT"
"12648"," 36 months","Fully Paid","11/1/2010","RENT"
"12649"," 36 months","Fully Paid","11/1/2010","RENT"
"12650"," 36 months","Fully Paid","11/1/2010","RENT"
"12651"," 36 months","Fully Paid","11/1/2010","RENT"
"12652"," 36 months","Fully Paid","11/1/2010","RENT"
"12653"," 60 months","Fully Paid","11/1/2010","RENT"
"12654"," 36 months","Fully Paid","11/1/2010","RENT"
"12655"," 36 months","Fully Paid","11/1/2010","RENT"
"12656"," 60 months","Fully Paid","11/1/2010","RENT"
"12657"," 36 months","Fully Paid","11/1/2010","RENT"
"12658"," 60 months","Fully Paid","11/1/2010","RENT"
"12659"," 60 months","Charged Off","11/1/2010","RENT"
"12660"," 36 months","Fully Paid","11/1/2010","RENT"
"12661"," 60 months","Charged Off","11/1/2010","RENT"
"12662"," 36 months","Fully Paid","11/1/2010","OWN"
"12663"," 60 months","Fully Paid","11/1/2010","RENT"
"12664"," 60 months","Fully Paid","11/1/2010","RENT"
"12665"," 36 months","Fully Paid","11/1/2010","RENT"
"12666"," 36 months","Fully Paid","11/1/2010","RENT"
"12667"," 36 months","Fully Paid","11/1/2010","RENT"
"12668"," 36 months","Fully Paid","11/1/2010","RENT"
"12669"," 60 months","Fully Paid","11/1/2010","RENT"
"12670"," 60 months","Fully Paid","11/1/2010","RENT"
"12671"," 60 months","Fully Paid","11/1/2010","RENT"
"12672"," 36 months","Fully Paid","11/1/2010","OWN"
"12673"," 36 months","Fully Paid","11/1/2010","RENT"
"12674"," 36 months","Fully Paid","11/1/2010","RENT"
"12675"," 36 months","Fully Paid","11/1/2010","RENT"
"12676"," 36 months","Charged Off","11/1/2010","RENT"
"12677"," 60 months","Fully Paid","11/1/2010","RENT"
"12678"," 36 months","Fully Paid","11/1/2010","RENT"
"12679"," 36 months","Fully Paid","11/1/2010","RENT"
"12680"," 36 months","Fully Paid","11/1/2010","RENT"
"12681"," 36 months","Fully Paid","11/1/2010","RENT"
"12682"," 36 months","Charged Off","11/1/2010","RENT"
"12683"," 60 months","Charged Off","11/1/2010","RENT"
"12684"," 36 months","Fully Paid","11/1/2010","RENT"
"12685"," 60 months","Fully Paid","11/1/2010","RENT"
"12686"," 60 months","Fully Paid","11/1/2010","RENT"
"12687"," 36 months","Fully Paid","11/1/2010","RENT"
"12688"," 36 months","Fully Paid","11/1/2010","RENT"
"12689"," 36 months","Fully Paid","11/1/2010","RENT"
"12690"," 36 months","Fully Paid","11/1/2010","RENT"
"12691"," 60 months","Fully Paid","11/1/2010","RENT"
"12692"," 36 months","Fully Paid","11/1/2010","RENT"
"12693"," 36 months","Fully Paid","11/1/2010","RENT"
"12694"," 60 months","Fully Paid","11/1/2010","RENT"
"12695"," 36 months","Fully Paid","11/1/2010","RENT"
"12696"," 36 months","Fully Paid","11/1/2010","OWN"
"12697"," 36 months","Fully Paid","11/1/2010","RENT"
"12698"," 36 months","Fully Paid","11/1/2010","OWN"
"12699"," 36 months","Fully Paid","11/1/2010","RENT"
"12700"," 36 months","Fully Paid","11/1/2010","RENT"
"12701"," 36 months","Fully Paid","11/1/2010","RENT"
"12702"," 60 months","Fully Paid","11/1/2010","RENT"
"12703"," 36 months","Fully Paid","11/1/2010","RENT"
"12704"," 60 months","Charged Off","11/1/2010","RENT"
"12705"," 36 months","Fully Paid","11/1/2010","RENT"
"12706"," 60 months","Charged Off","11/1/2010","OWN"
"12707"," 36 months","Fully Paid","11/1/2010","RENT"
"12708"," 36 months","Fully Paid","11/1/2010","RENT"
"12709"," 60 months","Charged Off","11/1/2010","OWN"
"12710"," 60 months","Fully Paid","11/1/2010","RENT"
"12711"," 36 months","Fully Paid","11/1/2010","OWN"
"12712"," 36 months","Fully Paid","11/1/2010","RENT"
"12713"," 36 months","Fully Paid","11/1/2010","RENT"
"12714"," 36 months","Fully Paid","11/1/2010","RENT"
"12715"," 36 months","Fully Paid","11/1/2010","RENT"
"12716"," 36 months","Fully Paid","11/1/2010","RENT"
"12717"," 36 months","Fully Paid","11/1/2010","RENT"
"12718"," 60 months","Fully Paid","11/1/2010","OWN"
"12719"," 60 months","Fully Paid","11/1/2010","RENT"
"12720"," 36 months","Fully Paid","11/1/2010","RENT"
"12721"," 60 months","Fully Paid","11/1/2010","RENT"
"12722"," 36 months","Fully Paid","11/1/2010","RENT"
"12723"," 36 months","Fully Paid","11/1/2010","RENT"
"12724"," 36 months","Fully Paid","11/1/2010","RENT"
"12725"," 36 months","Fully Paid","11/1/2010","RENT"
"12726"," 36 months","Fully Paid","11/1/2010","RENT"
"12727"," 60 months","Fully Paid","11/1/2010","RENT"
"12728"," 36 months","Fully Paid","11/1/2010","RENT"
"12729"," 60 months","Fully Paid","11/1/2010","RENT"
"12730"," 36 months","Fully Paid","11/1/2010","OWN"
"12731"," 36 months","Fully Paid","11/1/2010","RENT"
"12732"," 36 months","Fully Paid","11/1/2010","RENT"
"12733"," 36 months","Fully Paid","11/1/2010","RENT"
"12734"," 60 months","Fully Paid","11/1/2010","RENT"
"12735"," 36 months","Fully Paid","11/1/2010","RENT"
"12736"," 36 months","Fully Paid","11/1/2010","RENT"
"12737"," 36 months","Fully Paid","11/1/2010","RENT"
"12738"," 36 months","Fully Paid","11/1/2010","RENT"
"12739"," 60 months","Fully Paid","11/1/2010","RENT"
"12740"," 36 months","Fully Paid","11/1/2010","RENT"
"12741"," 36 months","Fully Paid","11/1/2010","RENT"
"12742"," 60 months","Fully Paid","11/1/2010","RENT"
"12743"," 36 months","Fully Paid","11/1/2010","RENT"
"12744"," 36 months","Charged Off","11/1/2010","OWN"
"12745"," 36 months","Fully Paid","11/1/2010","RENT"
"12746"," 36 months","Fully Paid","11/1/2010","RENT"
"12747"," 60 months","Fully Paid","11/1/2010","RENT"
"12748"," 60 months","Fully Paid","11/1/2010","RENT"
"12749"," 60 months","Fully Paid","11/1/2010","RENT"
"12750"," 36 months","Fully Paid","11/1/2010","RENT"
"12751"," 36 months","Fully Paid","11/1/2010","RENT"
"12752"," 36 months","Fully Paid","11/1/2010","RENT"
"12753"," 36 months","Fully Paid","11/1/2010","RENT"
"12754"," 36 months","Fully Paid","11/1/2010","RENT"
"12755"," 36 months","Fully Paid","11/1/2010","RENT"
"12756"," 36 months","Fully Paid","11/1/2010","RENT"
"12757"," 36 months","Fully Paid","11/1/2010","OWN"
"12758"," 36 months","Fully Paid","11/1/2010","RENT"
"12759"," 36 months","Charged Off","11/1/2010","RENT"
"12760"," 36 months","Fully Paid","11/1/2010","RENT"
"12761"," 36 months","Fully Paid","11/1/2010","RENT"
"12762"," 36 months","Fully Paid","11/1/2010","RENT"
"12763"," 36 months","Fully Paid","11/1/2010","RENT"
"12764"," 60 months","Fully Paid","11/1/2010","OWN"
"12765"," 36 months","Fully Paid","11/1/2010","RENT"
"12766"," 60 months","Fully Paid","11/1/2010","RENT"
"12767"," 36 months","Fully Paid","11/1/2010","RENT"
"12768"," 36 months","Fully Paid","11/1/2010","RENT"
"12769"," 60 months","Charged Off","11/1/2010","RENT"
"12770"," 60 months","Fully Paid","11/1/2010","OWN"
"12771"," 36 months","Fully Paid","10/1/2010","RENT"
"12772"," 36 months","Fully Paid","11/1/2010","RENT"
"12773"," 36 months","Fully Paid","11/1/2010","RENT"
"12774"," 36 months","Fully Paid","11/1/2010","RENT"
"12775"," 36 months","Fully Paid","11/1/2010","OWN"
"12776"," 36 months","Fully Paid","11/1/2010","RENT"
"12777"," 36 months","Fully Paid","10/1/2010","OWN"
"12778"," 36 months","Fully Paid","10/1/2010","RENT"
"12779"," 60 months","Charged Off","11/1/2010","RENT"
"12780"," 36 months","Fully Paid","10/1/2010","RENT"
"12781"," 60 months","Fully Paid","11/1/2010","RENT"
"12782"," 60 months","Fully Paid","11/1/2010","RENT"
"12783"," 36 months","Fully Paid","11/1/2010","RENT"
"12784"," 60 months","Fully Paid","11/1/2010","RENT"
"12785"," 36 months","Fully Paid","11/1/2010","RENT"
"12786"," 36 months","Fully Paid","10/1/2010","OWN"
"12787"," 36 months","Fully Paid","11/1/2010","RENT"
"12788"," 60 months","Fully Paid","11/1/2010","OWN"
"12789"," 36 months","Fully Paid","10/1/2010","RENT"
"12790"," 60 months","Charged Off","11/1/2010","RENT"
"12791"," 36 months","Fully Paid","10/1/2010","RENT"
"12792"," 36 months","Fully Paid","10/1/2010","RENT"
"12793"," 36 months","Fully Paid","10/1/2010","RENT"
"12794"," 36 months","Charged Off","10/1/2010","RENT"
"12795"," 36 months","Fully Paid","10/1/2010","RENT"
"12796"," 36 months","Fully Paid","10/1/2010","RENT"
"12797"," 60 months","Charged Off","11/1/2010","RENT"
"12798"," 60 months","Fully Paid","11/1/2010","RENT"
"12799"," 60 months","Fully Paid","10/1/2010","RENT"
"12800"," 60 months","Fully Paid","11/1/2010","RENT"
"12801"," 36 months","Charged Off","10/1/2010","RENT"
"12802"," 36 months","Fully Paid","10/1/2010","RENT"
"12803"," 36 months","Fully Paid","10/1/2010","RENT"
"12804"," 60 months","Fully Paid","10/1/2010","RENT"
"12805"," 60 months","Fully Paid","11/1/2010","OWN"
"12806"," 60 months","Fully Paid","11/1/2010","RENT"
"12807"," 60 months","Fully Paid","10/1/2010","RENT"
"12808"," 60 months","Fully Paid","10/1/2010","RENT"
"12809"," 36 months","Charged Off","11/1/2010","OWN"
"12810"," 36 months","Fully Paid","10/1/2010","RENT"
"12811"," 60 months","Charged Off","10/1/2010","RENT"
"12812"," 36 months","Fully Paid","10/1/2010","RENT"
"12813"," 36 months","Fully Paid","10/1/2010","RENT"
"12814"," 60 months","Fully Paid","11/1/2010","OWN"
"12815"," 36 months","Fully Paid","10/1/2010","RENT"
"12816"," 36 months","Fully Paid","10/1/2010","RENT"
"12817"," 36 months","Fully Paid","10/1/2010","RENT"
"12818"," 36 months","Fully Paid","10/1/2010","RENT"
"12819"," 60 months","Fully Paid","10/1/2010","RENT"
"12820"," 36 months","Fully Paid","10/1/2010","RENT"
"12821"," 60 months","Charged Off","10/1/2010","OWN"
"12822"," 60 months","Fully Paid","11/1/2010","RENT"
"12823"," 60 months","Fully Paid","11/1/2010","OWN"
"12824"," 36 months","Fully Paid","11/1/2010","RENT"
"12825"," 60 months","Fully Paid","10/1/2010","RENT"
"12826"," 36 months","Charged Off","10/1/2010","RENT"
"12827"," 36 months","Fully Paid","10/1/2010","RENT"
"12828"," 60 months","Fully Paid","11/1/2010","RENT"
"12829"," 36 months","Fully Paid","10/1/2010","RENT"
"12830"," 36 months","Fully Paid","11/1/2010","RENT"
"12831"," 36 months","Fully Paid","10/1/2010","RENT"
"12832"," 60 months","Fully Paid","11/1/2010","RENT"
"12833"," 60 months","Fully Paid","10/1/2010","RENT"
"12834"," 36 months","Fully Paid","10/1/2010","RENT"
"12835"," 36 months","Fully Paid","11/1/2010","OWN"
"12836"," 60 months","Charged Off","11/1/2010","OWN"
"12837"," 36 months","Fully Paid","10/1/2010","OWN"
"12838"," 36 months","Fully Paid","10/1/2010","RENT"
"12839"," 36 months","Fully Paid","10/1/2010","RENT"
"12840"," 36 months","Fully Paid","10/1/2010","RENT"
"12841"," 36 months","Fully Paid","10/1/2010","RENT"
"12842"," 36 months","Fully Paid","10/1/2010","RENT"
"12843"," 36 months","Fully Paid","10/1/2010","RENT"
"12844"," 36 months","Fully Paid","10/1/2010","RENT"
"12845"," 36 months","Fully Paid","10/1/2010","RENT"
"12846"," 60 months","Charged Off","10/1/2010","RENT"
"12847"," 36 months","Fully Paid","10/1/2010","RENT"
"12848"," 60 months","Charged Off","11/1/2010","OWN"
"12849"," 60 months","Fully Paid","10/1/2010","RENT"
"12850"," 60 months","Fully Paid","10/1/2010","RENT"
"12851"," 60 months","Charged Off","11/1/2010","RENT"
"12852"," 60 months","Fully Paid","10/1/2010","RENT"
"12853"," 36 months","Fully Paid","10/1/2010","RENT"
"12854"," 60 months","Fully Paid","10/1/2010","RENT"
"12855"," 36 months","Fully Paid","10/1/2010","RENT"
"12856"," 60 months","Fully Paid","10/1/2010","OWN"
"12857"," 60 months","Fully Paid","11/1/2010","RENT"
"12858"," 60 months","Fully Paid","10/1/2010","RENT"
"12859"," 36 months","Fully Paid","10/1/2010","RENT"
"12860"," 60 months","Fully Paid","10/1/2010","RENT"
"12861"," 36 months","Fully Paid","11/1/2010","OWN"
"12862"," 36 months","Fully Paid","11/1/2010","RENT"
"12863"," 60 months","Charged Off","10/1/2010","OWN"
"12864"," 36 months","Fully Paid","10/1/2010","RENT"
"12865"," 36 months","Fully Paid","10/1/2010","OWN"
"12866"," 60 months","Fully Paid","10/1/2010","RENT"
"12867"," 36 months","Fully Paid","10/1/2010","RENT"
"12868"," 36 months","Charged Off","10/1/2010","RENT"
"12869"," 60 months","Charged Off","10/1/2010","RENT"
"12870"," 36 months","Fully Paid","10/1/2010","RENT"
"12871"," 60 months","Fully Paid","10/1/2010","RENT"
"12872"," 36 months","Fully Paid","10/1/2010","RENT"
"12873"," 36 months","Fully Paid","10/1/2010","OWN"
"12874"," 36 months","Fully Paid","10/1/2010","RENT"
"12875"," 60 months","Charged Off","10/1/2010","RENT"
"12876"," 60 months","Charged Off","10/1/2010","RENT"
"12877"," 60 months","Fully Paid","11/1/2010","RENT"
"12878"," 60 months","Fully Paid","10/1/2010","RENT"
"12879"," 36 months","Fully Paid","10/1/2010","RENT"
"12880"," 36 months","Fully Paid","10/1/2010","RENT"
"12881"," 36 months","Fully Paid","10/1/2010","RENT"
"12882"," 36 months","Fully Paid","10/1/2010","RENT"
"12883"," 36 months","Fully Paid","10/1/2010","OWN"
"12884"," 36 months","Charged Off","10/1/2010","RENT"
"12885"," 36 months","Fully Paid","10/1/2010","RENT"
"12886"," 60 months","Fully Paid","10/1/2010","RENT"
"12887"," 60 months","Charged Off","10/1/2010","OWN"
"12888"," 36 months","Fully Paid","11/1/2010","RENT"
"12889"," 36 months","Fully Paid","10/1/2010","OWN"
"12890"," 60 months","Charged Off","10/1/2010","RENT"
"12891"," 36 months","Fully Paid","10/1/2010","RENT"
"12892"," 36 months","Fully Paid","10/1/2010","RENT"
"12893"," 60 months","Fully Paid","10/1/2010","RENT"
"12894"," 36 months","Charged Off","10/1/2010","RENT"
"12895"," 60 months","Charged Off","10/1/2010","RENT"
"12896"," 60 months","Fully Paid","10/1/2010","RENT"
"12897"," 36 months","Fully Paid","10/1/2010","RENT"
"12898"," 36 months","Fully Paid","10/1/2010","OWN"
"12899"," 36 months","Fully Paid","10/1/2010","RENT"
"12900"," 36 months","Fully Paid","10/1/2010","RENT"
"12901"," 36 months","Charged Off","10/1/2010","RENT"
"12902"," 36 months","Fully Paid","10/1/2010","OWN"
"12903"," 36 months","Fully Paid","10/1/2010","RENT"
"12904"," 60 months","Fully Paid","10/1/2010","RENT"
"12905"," 36 months","Fully Paid","10/1/2010","RENT"
"12906"," 36 months","Fully Paid","10/1/2010","RENT"
"12907"," 60 months","Fully Paid","10/1/2010","RENT"
"12908"," 36 months","Charged Off","10/1/2010","RENT"
"12909"," 36 months","Fully Paid","10/1/2010","RENT"
"12910"," 60 months","Fully Paid","10/1/2010","OWN"
"12911"," 36 months","Fully Paid","10/1/2010","RENT"
"12912"," 60 months","Fully Paid","10/1/2010","RENT"
"12913"," 36 months","Fully Paid","10/1/2010","RENT"
"12914"," 60 months","Charged Off","10/1/2010","RENT"
"12915"," 36 months","Fully Paid","10/1/2010","RENT"
"12916"," 60 months","Fully Paid","10/1/2010","RENT"
"12917"," 60 months","Charged Off","10/1/2010","OWN"
"12918"," 60 months","Fully Paid","10/1/2010","OWN"
"12919"," 36 months","Fully Paid","10/1/2010","RENT"
"12920"," 36 months","Fully Paid","10/1/2010","RENT"
"12921"," 36 months","Fully Paid","11/1/2010","RENT"
"12922"," 36 months","Fully Paid","10/1/2010","OWN"
"12923"," 36 months","Fully Paid","10/1/2010","RENT"
"12924"," 60 months","Fully Paid","10/1/2010","RENT"
"12925"," 60 months","Fully Paid","10/1/2010","RENT"
"12926"," 60 months","Fully Paid","10/1/2010","RENT"
"12927"," 60 months","Fully Paid","10/1/2010","RENT"
"12928"," 60 months","Fully Paid","10/1/2010","RENT"
"12929"," 36 months","Fully Paid","10/1/2010","RENT"
"12930"," 36 months","Fully Paid","10/1/2010","RENT"
"12931"," 36 months","Fully Paid","10/1/2010","RENT"
"12932"," 60 months","Fully Paid","10/1/2010","RENT"
"12933"," 60 months","Fully Paid","10/1/2010","RENT"
"12934"," 36 months","Fully Paid","10/1/2010","RENT"
"12935"," 60 months","Charged Off","10/1/2010","RENT"
"12936"," 60 months","Fully Paid","11/1/2010","RENT"
"12937"," 60 months","Fully Paid","10/1/2010","RENT"
"12938"," 36 months","Fully Paid","10/1/2010","RENT"
"12939"," 36 months","Fully Paid","10/1/2010","RENT"
"12940"," 60 months","Charged Off","10/1/2010","RENT"
"12941"," 36 months","Fully Paid","10/1/2010","RENT"
"12942"," 36 months","Fully Paid","10/1/2010","RENT"
"12943"," 36 months","Fully Paid","10/1/2010","RENT"
"12944"," 36 months","Fully Paid","10/1/2010","RENT"
"12945"," 36 months","Fully Paid","10/1/2010","RENT"
"12946"," 60 months","Charged Off","10/1/2010","OWN"
"12947"," 36 months","Charged Off","10/1/2010","RENT"
"12948"," 36 months","Fully Paid","10/1/2010","RENT"
"12949"," 36 months","Fully Paid","10/1/2010","OWN"
"12950"," 36 months","Fully Paid","10/1/2010","OWN"
"12951"," 36 months","Fully Paid","10/1/2010","OWN"
"12952"," 36 months","Fully Paid","10/1/2010","RENT"
"12953"," 36 months","Fully Paid","10/1/2010","RENT"
"12954"," 36 months","Fully Paid","10/1/2010","RENT"
"12955"," 60 months","Fully Paid","10/1/2010","RENT"
"12956"," 36 months","Fully Paid","10/1/2010","RENT"
"12957"," 36 months","Fully Paid","10/1/2010","RENT"
"12958"," 60 months","Fully Paid","10/1/2010","RENT"
"12959"," 60 months","Charged Off","10/1/2010","RENT"
"12960"," 60 months","Fully Paid","10/1/2010","RENT"
"12961"," 36 months","Charged Off","10/1/2010","RENT"
"12962"," 36 months","Fully Paid","10/1/2010","RENT"
"12963"," 36 months","Fully Paid","10/1/2010","RENT"
"12964"," 36 months","Charged Off","10/1/2010","RENT"
"12965"," 60 months","Fully Paid","11/1/2010","RENT"
"12966"," 36 months","Fully Paid","10/1/2010","OWN"
"12967"," 36 months","Fully Paid","10/1/2010","RENT"
"12968"," 36 months","Fully Paid","10/1/2010","RENT"
"12969"," 60 months","Fully Paid","10/1/2010","RENT"
"12970"," 60 months","Charged Off","10/1/2010","OWN"
"12971"," 36 months","Fully Paid","10/1/2010","RENT"
"12972"," 60 months","Fully Paid","10/1/2010","RENT"
"12973"," 36 months","Fully Paid","10/1/2010","RENT"
"12974"," 36 months","Fully Paid","10/1/2010","RENT"
"12975"," 60 months","Charged Off","10/1/2010","RENT"
"12976"," 60 months","Fully Paid","10/1/2010","RENT"
"12977"," 36 months","Fully Paid","10/1/2010","RENT"
"12978"," 36 months","Fully Paid","10/1/2010","RENT"
"12979"," 36 months","Fully Paid","10/1/2010","RENT"
"12980"," 60 months","Fully Paid","10/1/2010","OWN"
"12981"," 36 months","Fully Paid","10/1/2010","RENT"
"12982"," 36 months","Charged Off","10/1/2010","RENT"
"12983"," 60 months","Fully Paid","10/1/2010","RENT"
"12984"," 60 months","Fully Paid","10/1/2010","RENT"
"12985"," 36 months","Fully Paid","10/1/2010","RENT"
"12986"," 36 months","Fully Paid","10/1/2010","RENT"
"12987"," 36 months","Fully Paid","10/1/2010","RENT"
"12988"," 36 months","Fully Paid","10/1/2010","RENT"
"12989"," 36 months","Fully Paid","10/1/2010","RENT"
"12990"," 36 months","Fully Paid","10/1/2010","RENT"
"12991"," 36 months","Fully Paid","10/1/2010","RENT"
"12992"," 60 months","Charged Off","10/1/2010","RENT"
"12993"," 60 months","Fully Paid","10/1/2010","RENT"
"12994"," 36 months","Fully Paid","10/1/2010","RENT"
"12995"," 36 months","Fully Paid","10/1/2010","RENT"
"12996"," 36 months","Fully Paid","10/1/2010","RENT"
"12997"," 36 months","Charged Off","10/1/2010","RENT"
"12998"," 36 months","Fully Paid","10/1/2010","RENT"
"12999"," 60 months","Fully Paid","10/1/2010","RENT"
"13000"," 36 months","Charged Off","10/1/2010","RENT"
"13001"," 36 months","Fully Paid","10/1/2010","RENT"
"13002"," 36 months","Fully Paid","10/1/2010","RENT"
"13003"," 60 months","Charged Off","10/1/2010","RENT"
"13004"," 60 months","Fully Paid","10/1/2010","RENT"
"13005"," 60 months","Fully Paid","10/1/2010","RENT"
"13006"," 60 months","Fully Paid","11/1/2010","RENT"
"13007"," 60 months","Fully Paid","10/1/2010","RENT"
"13008"," 60 months","Charged Off","10/1/2010","RENT"
"13009"," 36 months","Fully Paid","10/1/2010","RENT"
"13010"," 60 months","Fully Paid","10/1/2010","RENT"
"13011"," 36 months","Fully Paid","10/1/2010","RENT"
"13012"," 36 months","Fully Paid","10/1/2010","OWN"
"13013"," 36 months","Fully Paid","10/1/2010","RENT"
"13014"," 36 months","Fully Paid","10/1/2010","RENT"
"13015"," 36 months","Fully Paid","10/1/2010","RENT"
"13016"," 36 months","Fully Paid","10/1/2010","RENT"
"13017"," 36 months","Charged Off","10/1/2010","RENT"
"13018"," 36 months","Fully Paid","10/1/2010","RENT"
"13019"," 36 months","Fully Paid","10/1/2010","RENT"
"13020"," 60 months","Charged Off","10/1/2010","RENT"
"13021"," 36 months","Charged Off","10/1/2010","RENT"
"13022"," 36 months","Fully Paid","10/1/2010","RENT"
"13023"," 36 months","Fully Paid","10/1/2010","RENT"
"13024"," 36 months","Fully Paid","10/1/2010","RENT"
"13025"," 36 months","Fully Paid","10/1/2010","RENT"
"13026"," 60 months","Fully Paid","10/1/2010","RENT"
"13027"," 36 months","Fully Paid","10/1/2010","RENT"
"13028"," 36 months","Fully Paid","10/1/2010","OWN"
"13029"," 36 months","Fully Paid","10/1/2010","OWN"
"13030"," 60 months","Fully Paid","10/1/2010","OWN"
"13031"," 36 months","Fully Paid","10/1/2010","OWN"
"13032"," 36 months","Fully Paid","10/1/2010","RENT"
"13033"," 36 months","Fully Paid","10/1/2010","RENT"
"13034"," 36 months","Fully Paid","10/1/2010","RENT"
"13035"," 36 months","Fully Paid","10/1/2010","RENT"
"13036"," 60 months","Fully Paid","10/1/2010","OWN"
"13037"," 36 months","Fully Paid","10/1/2010","RENT"
"13038"," 60 months","Charged Off","10/1/2010","RENT"
"13039"," 36 months","Fully Paid","10/1/2010","RENT"
"13040"," 36 months","Fully Paid","10/1/2010","RENT"
"13041"," 60 months","Fully Paid","10/1/2010","OWN"
"13042"," 36 months","Fully Paid","10/1/2010","RENT"
"13043"," 60 months","Fully Paid","10/1/2010","RENT"
"13044"," 36 months","Fully Paid","10/1/2010","RENT"
"13045"," 36 months","Fully Paid","10/1/2010","RENT"
"13046"," 36 months","Fully Paid","10/1/2010","RENT"
"13047"," 36 months","Charged Off","10/1/2010","OWN"
"13048"," 36 months","Fully Paid","10/1/2010","RENT"
"13049"," 36 months","Fully Paid","10/1/2010","RENT"
"13050"," 36 months","Fully Paid","10/1/2010","RENT"
"13051"," 36 months","Fully Paid","10/1/2010","RENT"
"13052"," 60 months","Fully Paid","10/1/2010","RENT"
"13053"," 60 months","Fully Paid","10/1/2010","RENT"
"13054"," 60 months","Fully Paid","10/1/2010","RENT"
"13055"," 36 months","Fully Paid","10/1/2010","OWN"
"13056"," 36 months","Fully Paid","10/1/2010","RENT"
"13057"," 36 months","Fully Paid","10/1/2010","RENT"
"13058"," 36 months","Fully Paid","10/1/2010","RENT"
"13059"," 60 months","Fully Paid","10/1/2010","OWN"
"13060"," 60 months","Fully Paid","10/1/2010","RENT"
"13061"," 60 months","Fully Paid","10/1/2010","RENT"
"13062"," 36 months","Fully Paid","10/1/2010","RENT"
"13063"," 36 months","Fully Paid","10/1/2010","OWN"
"13064"," 36 months","Fully Paid","10/1/2010","RENT"
"13065"," 36 months","Fully Paid","10/1/2010","RENT"
"13066"," 60 months","Fully Paid","10/1/2010","RENT"
"13067"," 36 months","Fully Paid","10/1/2010","RENT"
"13068"," 60 months","Fully Paid","10/1/2010","RENT"
"13069"," 60 months","Fully Paid","10/1/2010","RENT"
