" Cloud Service Provider"," Cloud Service Offering"," Type"," Service Model"," Leveraged A T O"," Authorization Date"," Announcement Date"," Agency"," Subagency"," Independent Assessor"," Package Id"
MicroFocus,Fortify on Demand,JAB,SaaS,Yes,,,Department of Defense,United States Air Force,,F1301101857
MicroFocus,Fortify on Demand,JAB,SaaS,Yes,,,Department of Defense,United States Army,,F1301101857
MicroFocus,Fortify on Demand,JAB,SaaS,Yes,,,Department of Labor,Bureau of Labor Statistics,,F1301101857
MicroFocus,Fortify on Demand,JAB,SaaS,Yes,,,Department of Transportation,Federal Aviation Administration,,F1301101857
MicroFocus,Fortify on Demand,JAB,SaaS,Yes,,,Federal Retirement Thrift Investment Board,,,F1301101857
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",No,05/03/2019,05/03/2019,JAB Authorization,,Kratos,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,National Labor Relations Board,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Corporation for National & Community Service (CNCS),,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,National Science Foundation,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Treasury,Internal Revenue Service,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Veterans Affairs,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Tennessee Valley Authority,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Small Business Administration,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,Federal Energy Regulatory Commission,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of State,State Office of the Inspector General,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Interior,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Farm Credit Administration,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Nuclear Regulatory Commission,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Transportation,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Health and Human Services,Centers for Disease Control and Prevention,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Agriculture,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,U.S. Election Assistance Commission,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Court Services and Offender Supervision Agency,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Transportation,Federal Aviation Administration,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,U.S. Office of Special Counsel,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Defense,United States Military Academy,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,International Trade Administration,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,FirstNet,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Justice,DOJ Office of the Inspector General,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,United States Census Bureau,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Federal Communications Commission,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of State,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Social Security Administration,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Commodity Futures Trading Commission,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,National Capital Planning Commission,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Homeland Security,United States Secret Service,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,American Battle Monuments Commission,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,International Trade Administration,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,National Telecommunications and Information Administration,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Interior,Office of Natural Resources Revenue,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,United States Patent and Trademark Office,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Federal Deposit Insurance Corporation,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Labor,Office of Job Corps,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Pension Benefit Guaranty Corporation,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Education,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Federal Deposit Insurance Corporation,,,F1209051525
Microsoft,Azure Commercial Cloud,JAB,"IaaS, PaaS, SaaS",Yes,,,United States Agency for International Development,,,F1209051525
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",No,04/17/2020,04/29/2020,JAB Authorization,,Kratos,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Housing and Urban Development,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,Federal Energy Regulatory Commission,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Veterans Affairs,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Veterans Affairs,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Interior,Bureau of Indian Affairs,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Agriculture,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,United States Equal Employment Opportunity Commission,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Tennessee Valley Authority,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Education,Federal Student Aid,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Justice,Office of Justice Programs,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Justice,Office of Justice Programs,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Nuclear Regulatory Commission,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of State,State Office of the Inspector General,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Interior,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Treasury,Internal Revenue Service,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Treasury,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,United States Agency for International Development,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Office of Personnel Management,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Labor,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Administrative Office of the United States Courts,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Federal Housing Finance Agency,FHFA Office of the Inspector General,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Health and Human Services,Administration for Children & Families,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,U.S. Office of Special Counsel,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Homeland Security,Customs and Border Protection,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Social Security Administration,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Environmental Protection Agency,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Homeland Security,Federal Emergency Management Agency,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Health and Human Services,Centers for Disease Control and Prevention,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,Bureau of Industry and Security,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,Bureau of Economic Analysis,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Justice,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Interior,Office of Natural Resources Revenue,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Environmental Protection Agency,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Health and Human Services,Health Resources and Service Administration,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Pension Benefit Guaranty Corporation,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of State,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Education,,,F1603087869
Microsoft,Azure Government (includes Dynamics 365),JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Defense,Defense Information Systems Agency,,F1603087869
Microsoft,Microsoft Office 365 GCC High,Agency,SaaS,No,,,Department of Justice,,Kratos,FR1824057433
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,No,04/22/2021,11/20/2014,Department of Health and Human Services,,Kratos,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Homeland Security,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Commerce,United States Census Bureau,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,National Labor Relations Board,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,National Science Foundation,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Surface Transportation Board,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of the Interior,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Energy,Federal Energy Regulatory Commission,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Transportation,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Council of the Inspectors General on Integrity and Efficiency,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,United States Equal Employment Opportunity Commission,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Commerce,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Agriculture,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Tennessee Valley Authority,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Energy,Southwestern Power Administration,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Energy,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,National Capital Planning Commission,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,United States Trade and Development Agency,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Justice,Office of Justice Programs,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of State,State Office of the Inspector General,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Consumer Financial Protection Bureau,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Housing and Urban Development,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Farm Credit Administration,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,United States International Trade Commission,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Federal Housing Finance Agency,FHFA Office of the Inspector General,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,National Endowment for the Arts,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Homeland Security,Transportation Security Administration,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,U.S. Election Assistance Commission,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Federal Trade Commission,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,United States Agency for International Development,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Court Services and Offender Supervision Agency,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Federal Retirement Thrift Investment Board,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Labor,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Homeland Security,United States Secret Service,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Federal Reserve System,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Homeland Security,Customs and Border Protection,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Defense Nuclear Facilities Safety Board,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,U.S. Office of Special Counsel,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Defense,United States Military Academy,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Millennium Challenge Corporation,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of State,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of the Treasury,Bureau of Engraving and Printing,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of the Treasury,United States Mint,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Commerce,United States Patent and Trademark Office,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Federal Communications Commission,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,United States Agency for Global Media,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Energy,Los Alamos National Laboratory,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,United States House of Representatives,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Health and Human Services,National Institutes of Health,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Postal Regulatory Commission,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Commerce,Bureau of Economic Analysis,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Social Security Administration,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Commerce,International Trade Administration,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Commodity Futures Trading Commission,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Energy,Office of Science / Argonne Site Office,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Universal Service Administrative Company,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Health and Human Services,Centers for Disease Control and Prevention,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,American Battle Monuments Commission,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Commerce,National Technical Information Service,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Commerce,National Telecommunications and Information Administration,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,National Aeronautics and Space Administration,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Pension Benefit Guaranty Corporation,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Defense,United States Army Corps of Engineers,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Defense,Defense Acquisition University,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Education,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Transportation,Federal Aviation Administration,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Homeland Security,Federal Emergency Management Agency,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Energy,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of Health and Human Services,Health Resources and Services Administration,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Environmental Protection Agency,,,MSO365MT
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,SaaS,Yes,,,Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,,MSO365MT
MicroStrategy,MicroStrategy Cloud for Government,Agency,SaaS,No,07/14/2022,11/17/2022,Department of Health and Human Services,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2126176344
MIS Sciences Corporation,GovPoint Cloud Services,JAB,"IaaS, PaaS",No,04/21/2016,04/21/2016,JAB Authorization,,SecureIT,F1311222650
MIS Sciences Corporation,GovPoint Cloud Services,JAB,"IaaS, PaaS",Yes,,,Department of Defense,United States Marine Corps,,F1311222650
MIS Sciences Corporation,GovPoint Cloud Services,JAB,"IaaS, PaaS",Yes,,,Department of Transportation,Federal Railroad Administration,,F1311222650
MIS Sciences Corporation,GovPoint Cloud Services,JAB,"IaaS, PaaS",Yes,,,Federal Communications Commission,,,F1311222650
MIS Sciences Corporation,GovPoint Cloud Services,JAB,"IaaS, PaaS",Yes,,,Department of Commerce,National Oceanic and Atmospheric Administration,,F1311222650
MIS Sciences Corporation,GovPoint Cloud Services,JAB,"IaaS, PaaS",Yes,,,Railroad Retirement Board,,,F1311222650
MIS Sciences Corporation,GovPoint Cloud Services,JAB,"IaaS, PaaS",Yes,,,Pretrial Services Agency,,,F1311222650
MIS Sciences Corporation,GovPoint Cloud Services,JAB,"IaaS, PaaS",Yes,,,Library of Congress,,,F1311222650
MIS Sciences Corporation,GovPoint Cloud Services,JAB,"IaaS, PaaS",Yes,,,Department of Energy,National Training Center,,F1311222650
mLINQS,mLINQS Hosting Service,Agency,SaaS,No,08/27/2020,09/08/2017,Department of the Treasury,,"Coalfire Systems, Inc.",F1610037949
mLINQS,mLINQS Hosting Service,Agency,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1610037949
mLINQS,mLINQS Hosting Service,Agency,SaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,F1610037949
mLINQS,mLINQS Hosting Service,Agency,SaaS,Yes,,,Department of Agriculture,,,F1610037949
mLINQS,mLINQS Hosting Service,Agency,SaaS,Yes,,,Department of Homeland Security,United States Secret Service,,F1610037949
mLINQS,mLINQS Hosting Service,Agency,SaaS,Yes,,,Department of the Treasury,Bureau of the Fiscal Service,,F1610037949
mLINQS,mLINQS Hosting Service,Agency,SaaS,Yes,,,Department of Justice,,,F1610037949
Modus,Modus Government Solutions (MGS),JAB,SaaS,No,07/23/2021,07/27/2021,JAB Authorization,,"Lunarline, Inc.",FR1915765924
MongoDB,MongoDB Atlas for Government,Agency,"PaaS, SaaS",No,08/24/2022,01/18/2023,Department of Health and Human Services,,"Schellman Compliance, LLC",FR2122150307
Monster Government Solutions,Monster Hiring Management Enterprise (MHME),Agency,SaaS,No,05/28/2021,04/07/2022,General Services Administration,,SecureIT,FR1711546389
Monster Government Solutions,Monster Hiring Management Enterprise (MHME),Agency,SaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,FR1711546389
Monster Government Solutions,Monster Hiring Management Enterprise (MHME),Agency,SaaS,Yes,,,Consumer Product Safety Commission,,,FR1711546389
Monster Government Solutions,Monster Hiring Management Enterprise (MHME),Agency,SaaS,Yes,,,Pension Benefit Guaranty Corporation,,,FR1711546389
Monster Government Solutions,Monster Hiring Management Enterprise (MHME),Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,FR1711546389
Monster Government Solutions,Monster Hiring Management Enterprise (MHME),Agency,SaaS,Yes,,,Department of Justice,Federal Bureau of Prisons,,FR1711546389
Monster Government Solutions,Monster Hiring Management Enterprise (MHME),Agency,SaaS,Yes,,,Department of Labor,,,FR1711546389
